COMMAND,COMMAND_PATH,TYPE,COMMAND_GROUP,ARGUMENT,ALIAS,MULTIPLE_USE,PARAMETER,MULTIPLE_PARAMETER,TOOLTIP
create,conda.env.create,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
create,conda.env.create,PARAMETER,Optional arguments,--file,-f,FALSE,FILE,FALSE,Environment definition file (default: environment.yml)
create,conda.env.create,OPTIONAL,Optional arguments,--force,,FALSE,,,Force creation of environment.
create,conda.env.create,OPTIONAL,Optional arguments,--dry-run,-d,FALSE,,,Only display what would have been done.
create,conda.env.create,OPTIONAL,Optional arguments,--no-default-packages,,FALSE,,,Ignore create_default_packages in the .condarc file.
create,conda.env.create,PARAMETER,Optional arguments,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
create,conda.env.create,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
create,conda.env.create,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
create,conda.env.create,OPTIONAL,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
create,conda.env.create,OPTIONAL,Networking Options,--insecure,-k,FALSE,,,"Allow conda to perform ""insecure"" SSL connections and transfers."
create,conda.env.create,OPTIONAL,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
create,conda.env.create,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
create,conda.env.create,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
create,conda.env.create,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
export,conda.env.export,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
export,conda.env.export,PARAMETER,Optional arguments,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
export,conda.env.export,OPTIONAL,Optional arguments,--override-channels,,FALSE,,,Do not search default or .condarc channels.
export,conda.env.export,PARAMETER,Optional arguments,--file,-f,FALSE,FILE,FALSE,Environment definition file (default: environment.yml)
export,conda.env.export,OPTIONAL,Optional arguments,--no-builds,,FALSE,,, Remove build specification from dependencies
export,conda.env.export,OPTIONAL,Optional arguments,--ignore-channels,,FALSE,,, Do not include channel names with package names.
export,conda.env.export,OPTIONAL,Optional arguments,--from-history,,FALSE,,,Build environment spec from explicit specs in history
export,conda.env.export,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
export,conda.env.export,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
export,conda.env.export,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
export,conda.env.export,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
export,conda.env.export,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
list,conda.env.list,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
list,conda.env.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
list,conda.env.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
list,conda.env.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
remove,conda.env.remove,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
remove,conda.env.remove,PARAMETER,Optional arguments,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
remove,conda.env.remove,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
remove,conda.env.remove,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
remove,conda.env.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
remove,conda.env.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
remove,conda.env.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
remove,conda.env.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
remove,conda.env.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
update,conda.env.update,POSITIONAL,positional arguments,,,FALSE,REMOTE_DEFINITION,FALSE,Remote environment definition.
update,conda.env.update,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
update,conda.env.update,PARAMETER,Optional arguments,--file,-f,FALSE,FILE,FALSE,Environment definition file.
update,conda.env.update,OPTIONAL,Optional arguments,--prune,,FALSE,,,Remove installed packages not defined in definition file.
update,conda.env.update,PARAMETER,Optional arguments,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
update,conda.env.update,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
update,conda.env.update,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
update,conda.env.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
update,conda.env.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
update,conda.env.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE."
config,conda.env.config,COMMAND,Command,vars,,FALSE,,,Interact with environment variables associated with Conda environments.
config,conda.env.config,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
vars,conda.env.config.vars,COMMAND,Command,list,,FALSE,,,List environment variables for a conda environment.
vars,conda.env.config.vars,COMMAND,Command,set,,FALSE,,,Set environment variables for a conda environment.
vars,conda.env.config.vars,COMMAND,Command,unset,,FALSE,,,Unset environment variables for a conda environment.
vars,conda.env.config.vars,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
list,conda.env.config.vars.list,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
list,conda.env.config.vars.list,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
list,conda.env.config.vars.list,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
list,conda.env.config.vars.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
list,conda.env.config.vars.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
list,conda.env.config.vars.list,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE."
set,conda.env.config.vars.set,POSITIONAL,positional arguments,,,FALSE,ENV_KEY_VALUE,TRUE,Environment variables to set in the form <KEY>=<VALUE>.
set,conda.env.config.vars.set,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
set,conda.env.config.vars.set,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
set,conda.env.config.vars.set,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
unset,conda.env.config.vars.unset,POSITIONAL,positional arguments,,,FALSE,ENV_KEY,TRUE,Environment variables to unset in the form <KEY>.
unset,conda.env.config.vars.unset,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
unset,conda.env.config.vars.unset,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
unset,conda.env.config.vars.unset,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
